,0,1,2
0,0.7981842,0.3322512,0.5796906
1,1.4093019,0.24331042,0.75716215
2,0.5193893,0.9750881,0.97455883
3,0.9473069,1.7389793,1.3074476
4,0.99368805,0.9866849,0.5936077
5,1.036677,0.6731462,0.791947
6,0.4990554,0.3704801,0.4596643
7,0.86810803,0.37718087,1.226544
8,0.0,1.4439726,0.98440325
9,1.0401382,1.8718467,1.006057
10,0.42379785,0.6718313,0.60554796
11,1.0765655,0.0,0.49694407
12,0.72274834,1.3253667,1.0962219
13,0.5928828,0.18729447,0.27657247
14,0.62612617,0.14807966,1.3596624
15,1.8391643,0.1054741,0.5617721
16,1.9499238,0.613584,0.5986335
17,0.7525593,1.1327417,0.8947089
18,0.25941274,0.6566733,0.7401672
19,1.1802025,1.0076876,0.06337693
20,1.2902464,2.0455844,0.70453227
21,0.6499268,1.0981855,1.3699286
22,0.364721,0.76949966,1.3088495
23,0.6654963,0.5005491,0.9439907
24,0.7310996,0.9185991,0.70092905
25,1.1398089,0.6442636,1.008735
26,1.0547918,0.8352657,0.9936249
27,1.1965859,1.2985163,0.24781111
28,0.3382879,1.5832727,0.61016876
29,1.3007389,1.5092652,0.8879088
30,1.3480029,0.099652275,0.0
31,0.3767796,1.134655,0.8938272
32,0.638215,1.302427,0.710448
33,0.14434403,0.33250505,0.6354091
34,1.0826011,0.75883275,0.322738
35,0.32266843,1.7550576,0.81067514
36,1.8950179,0.8790404,0.70503384
37,0.91645086,0.5130689,0.33122683
38,1.895925,0.92906153,0.81362677
39,1.2056224,0.98227704,0.5557772
40,0.545732,0.06454998,1.4352943
41,1.5677326,1.2622564,0.6416584
42,1.1388218,0.75417954,0.75668585
43,0.73050094,0.0073156506,0.44942206
44,0.0,0.56597686,0.63252693
45,0.8012335,0.5799428,1.2806926
46,1.1486672,0.3685753,0.7943871
47,1.3443182,0.973046,1.0569965
48,0.16946054,0.94112843,1.3125991
49,0.0,0.25660622,0.0
50,0.60173637,0.7357382,1.2757809
51,1.230068,0.79637814,0.88452685
52,0.19082439,0.009937234,1.6362716
53,1.0074387,0.7946372,0.10197404
54,0.698818,0.3638853,0.6222965
55,1.4176513,0.7164913,0.55605626
56,0.5543103,2.2723513,0.86032534
57,0.53838116,0.0,1.1905282
58,1.386452,1.3033359,0.0
59,0.34563503,0.0,1.6668055
60,1.5958347,1.4859505,1.4203628
61,0.51573503,1.3761067,1.2168723
62,0.5310051,0.9192669,1.1254216
63,1.2551041,0.89656466,1.4635882
64,0.8373828,0.40398446,0.45912915
65,0.49535507,1.1426771,0.9055531
66,1.1652339,1.2352803,0.6952963
67,1.6529841,1.2846744,0.7283467
68,1.3678774,0.756493,1.4107695
69,1.6817782,1.0722705,0.96086633
70,1.295953,0.70181096,0.8919997
71,0.55129266,1.5831954,1.4205332
72,0.46289432,0.8406031,1.8340969
73,0.88393724,0.8225187,0.599762
74,1.1216414,0.0,1.0438064
75,1.4177768,0.69462377,0.6009727
76,1.0660179,0.8010797,0.8319174
77,1.0468303,1.3873942,0.5486209
78,0.8003462,0.5899163,0.6657199
79,0.78591,0.5466126,1.3182908
80,1.1434404,1.4707782,1.3804058
81,1.0605179,0.777847,0.85246146
82,1.6111197,0.12341243,0.9581305
83,0.25005463,0.80171806,0.8386774
84,0.17620343,0.020687267,1.1808417
85,0.63384163,1.0754147,1.4466442
86,0.59166473,0.8496184,0.5522471
87,1.4809697,1.015772,0.761321
88,1.4707131,0.16127124,1.4783032
89,1.8683379,0.0082951635,1.0350347
90,0.9303961,0.6739747,0.78195643
91,0.16018131,0.64410895,0.4448952
92,1.3307083,0.6184545,1.6987596
93,0.51002276,0.3647308,0.8616643
94,1.0464191,0.0,0.82503724
95,1.6336391,1.0392073,0.21582651
96,1.1911347,0.5349231,1.1751635
97,0.65181863,0.5817691,0.5574693
98,0.88820434,1.2674825,0.48040903
99,1.4532964,0.3142963,0.5075263
100,1.3317826,0.46244073,1.1519638
101,1.9408889,0.9389832,1.3110783
102,1.3682547,1.1998672,1.5660183
103,0.64378357,0.7647884,1.1026984
104,0.8249682,0.8399542,0.7080369
105,1.0138628,0.8490963,0.4379382
106,0.91664946,1.3043344,1.084859
107,1.2383807,0.9107165,1.0462703
108,0.6420684,1.1927211,0.7844825
109,0.5897214,0.5584543,0.80136096
110,0.765615,0.2465934,0.0
111,1.2104304,0.0,1.0683033
112,1.3755345,0.060661837,0.25775865
113,1.5105423,0.53873634,0.45857364
114,0.79801846,0.829923,0.73716193
115,1.6855607,0.47548327,0.53319657
116,0.8295735,0.028118819,0.6155928
117,1.0511165,0.0,1.1643494
118,1.0739443,1.2555535,1.1589999
119,0.64966947,0.5849458,1.3762616
120,0.65015864,0.86268646,0.5022353
121,1.1237488,0.527148,0.1262326
122,0.29275477,1.1476612,1.8244195
123,0.8466369,1.1543505,1.1210897
124,0.41290718,1.7407961,0.49275655
125,0.8208803,0.9412343,0.7861967
126,0.76638055,1.3347611,0.82188
127,1.1635449,0.45278466,0.74723357
128,0.7722214,0.38867787,2.130791
129,0.9529293,0.7399467,0.995798
130,1.4476097,0.9403723,0.9778633
131,0.47440577,0.7955477,0.95905757
132,1.0374436,1.3062646,0.8060155
133,1.1311032,0.39039296,0.39077795
134,0.6779522,0.04865943,0.9258901
135,1.0524367,0.08638145,0.61577886
136,0.8652,1.0118208,1.366325
137,1.221544,0.675632,1.2274902
138,1.3679879,0.8439956,1.3248703
139,1.429054,0.7077879,0.5513112
140,0.6318315,1.7428162,1.28716
141,0.65381956,0.6670005,1.9448903
142,0.5008365,0.37375388,1.1488445
143,1.5413918,0.84183306,1.8616195
144,1.5327992,0.72206753,0.5531822
145,0.42415962,1.0244342,1.0248213
146,1.045128,0.0,0.46127033
147,0.8109435,0.16296567,0.7450897
148,0.73387736,0.4894701,2.076404
149,0.65821046,1.8111258,0.26532185
150,0.68015957,0.5845689,0.55138427
151,1.5170019,0.8884674,0.9542334
152,1.2775396,1.5923486,1.0457911
153,1.2308148,0.5578722,0.6512763
154,0.6552615,1.5260754,1.0710015
155,0.25940514,0.07213114,0.22547695
156,0.87011456,1.7908654,1.2167833
157,0.90409076,1.5802774,1.0769509
158,1.2970102,1.6423717,0.877215
159,0.22751516,0.42453578,0.57540035
160,0.9411772,0.2915808,1.3104632
161,1.8358469,0.0,1.4784092
162,0.0,1.0310068,0.93753326
163,0.47740778,0.8899015,0.31309927
164,0.0,0.5393793,0.30101407
165,0.0,0.7000519,1.303616
166,0.6800381,0.7673288,0.86487186
167,1.3940879,1.3413341,0.8547673
168,0.81237286,0.3099788,1.0275258
169,1.6065211,0.8098075,1.4777863
170,0.6536236,1.1871383,1.4520967
171,1.373446,0.8640119,1.051109
172,1.4680983,0.2858433,0.73015
173,0.0,0.49969354,0.36157387
174,1.3001406,0.6197086,0.6020633
175,1.0455589,0.0,0.27216244
176,1.026793,0.8588863,0.7732186
177,0.28636587,1.1807373,0.953931
178,0.7927334,1.0668894,1.2575022
179,0.70586205,0.5253953,0.66390103
180,0.3107634,0.27992144,0.9989766
181,1.0110074,0.5578244,1.5427359
182,1.0865822,1.0926528,1.5800425
183,0.0,1.7944741,0.5995431
184,0.67352617,0.7873585,1.4476349
185,0.2595183,0.6821949,1.2801127
186,1.2329776,0.500251,0.5319521
187,1.0279375,0.22444052,1.6560487
188,1.254312,1.0871811,1.2187915
189,0.5769556,0.39766562,0.52603877
190,0.78235537,0.67123866,1.4214664
191,1.42692,0.9778496,0.6009879
192,0.13802958,1.2541745,0.8190031
193,0.5182497,0.07361972,1.1045363
194,1.4012028,1.1839824,0.0
195,0.723931,1.1067977,1.546069
196,1.3418982,0.8558254,0.61148196
197,0.7819202,0.45384595,0.76931965
198,0.8023404,0.0,0.33104575
199,0.14814794,1.0601487,0.7952759
200,1.1141683,0.12427461,1.1285697
201,0.9941358,0.5491544,1.0696669
202,0.7430389,1.352529,0.43303907
203,0.3455721,1.0505633,0.1956181
204,1.263403,1.055388,1.0349491
205,0.44161645,0.062274054,0.7212049
206,0.8857659,0.0,1.0877315
207,0.6524956,0.93326986,1.0505801
208,0.97737724,1.1357846,1.1260611
209,0.8655488,1.516849,1.3092041
210,0.78886104,0.40552962,1.0437183
211,0.48368746,1.0566385,0.47621596
212,0.9455085,0.6586462,0.8023797
213,0.066871226,0.2331681,1.0592768
214,0.4443985,1.1481996,0.9111403
215,0.6611528,1.0579199,1.4359772
216,0.0,1.2375345,0.15318611
217,1.5925283,0.4609713,0.7352487
218,1.2505891,0.9150332,0.46378732
219,1.2996154,1.1689272,1.0339237
220,1.487503,0.0,0.46865982
221,0.9227462,1.0006883,0.18499503
222,0.7739018,0.8405733,0.95889795
223,0.058642507,0.031690203,1.2758918
224,0.5087191,0.60520995,0.3822273
225,1.1907351,0.8915142,0.6201105
226,1.335846,0.0,0.6571943
227,1.5451255,0.46359268,0.6569619
228,0.93749106,0.47607186,1.0536654
229,1.154828,1.2081487,0.5870291
230,1.4074073,0.6713355,1.4343109
231,0.90669453,1.0375322,1.7010266
232,1.7319782,0.59882534,1.4955512
233,0.8546188,0.8079576,0.48517293
234,1.0273209,0.17237616,2.08025
235,0.56855404,0.23819043,0.8207928
236,0.78786933,1.017664,0.8179054
237,0.84836555,0.95601887,0.023295432
238,0.0,0.7959526,0.8940989
239,0.33844188,0.3430531,0.96334577
240,1.3317198,0.049510285,1.5718461
241,1.3777852,1.2567961,0.47252756
242,1.166214,0.6775385,0.98309577
243,1.2707163,0.69187737,1.045482
244,1.8727994,0.42441967,0.40147638
245,0.64857554,0.29106033,1.4675448
246,0.91391855,0.12124644,1.464051
247,0.99416274,0.45197138,1.260399
248,0.7488985,0.30124524,0.6643485
249,1.1624012,1.015964,1.1037711
250,0.37831688,1.2042701,1.216364
251,0.5536778,0.4680705,1.0410538
252,1.3543124,0.9091783,0.3407781
253,0.64240915,0.85881567,1.3480735
254,0.95612,1.5019953,1.0668546
255,1.6866021,1.3946888,1.5572125
256,0.6936797,0.63758755,1.4022563
