,mean_exp_het,uniq_haps,mean_hap_ct,seg_sites,tajD,adj_LD,mat_sum,uniq_snp_pattern_ct,kelly_z
526,0.28382861635220125,28,1.4285714285714286,159,0.8814359993097088,0.18398555276026188,1615,37,0.20170385316771003
527,0.18790865384615388,23,1.7391304347826086,104,-0.6605361795970177,0.13032449399110294,862,32,0.12572544216401454
528,0.2346746575342466,27,1.4814814814814814,146,0.0878922434413883,0.20320991125094026,1292,35,0.19336071219091938
529,0.21545698924731185,31,1.2903225806451613,93,-0.2193641196424074,0.14220231449055537,628,38,0.10705706479093935
530,0.20194148936170214,21,1.9047619047619047,94,-0.43491221366055854,0.1185557521409995,532,29,0.11206256434344915
531,0.32593321917808216,21,1.9047619047619047,146,1.558545552139491,0.27073358608758846,1691,30,0.30449850707717496
532,0.26555555555555554,28,1.4285714285714286,90,0.5785203597433737,0.146453735451158,806,33,0.17850139268252083
533,0.17592557251908397,28,1.4285714285714286,131,-0.8569388059947772,0.1547015538206327,797,37,0.12745884599831592
534,0.27351136363636364,23,1.7391304347826086,110,0.7092123979357019,0.1994989969669238,1001,32,0.19278580755831182
535,0.2173325892857143,28,1.4285714285714286,112,-0.1904475398199435,0.22800301166054157,1121,34,0.2303641567009942
536,0.26145833333333335,29,1.3793103448275863,180,0.5214549764900253,0.21193002518102982,1620,39,0.20691355830272531
537,0.22586842105263158,23,1.7391304347826086,95,-0.05346178148661866,0.10050332629319592,702,30,0.13191787270966818
538,0.20274082568807336,29,1.3793103448275863,109,-0.4239131292485826,0.1733110608964459,909,37,0.14987652992247147
539,0.236073717948718,25,1.6,156,0.11057769054581713,0.11829101626535808,1102,36,0.1450812647551076
540,0.251806640625,26,1.5384615384615385,128,0.3629774062467236,0.17363804261043753,1003,31,0.16402125400481718
541,0.21131329113924044,27,1.4814814814814814,158,-0.28901299094469146,0.17693336592809586,1326,37,0.1779712803953157
542,0.140584349593496,27,1.4814814814814814,246,-1.4399339329873748,0.22142294460841366,2621,38,0.23612840613373323
543,0.2759022556390978,26,1.5384615384615385,133,0.7508451843579792,0.1866512090892293,1068,34,0.16979616906840042
544,0.18966386554621842,32,1.25,119,-0.6346464224085927,0.11231199867113593,712,39,0.11014117776480607
545,0.22304956896551725,21,1.9047619047619047,116,-0.09894765313791236,0.15112822674607726,793,26,0.16006363130547915
546,0.17868150684931508,25,1.6,73,-0.7989159750894188,0.0769113023691393,365,32,0.08197328241328201
547,0.14062500000000006,26,1.5384615384615385,106,-1.417278309913722,0.18759033360147698,939,38,0.15349280960411082
548,0.20409722222222224,20,2.0,54,-0.3919711628262944,0.15891637157899505,349,26,0.11536090226242805
549,0.3108482142857142,31,1.2903225806451613,224,1.3245337884624961,0.32312331201171196,2782,45,0.3252238240384078
550,0.20560606060606065,26,1.5384615384615385,198,-0.38253264774570694,0.3146866072096122,2478,34,0.3432421060255411
551,0.1574290780141845,26,1.5384615384615385,141,-1.156133887469932,0.2640936951541932,1756,35,0.2452553882269518
552,0.22136206896551727,22,1.8181818181818181,145,-0.1266261258878565,0.16814607033831397,946,31,0.14659331299617118
553,0.16473333333333331,27,1.4814814814814814,150,-1.039773273192786,0.2862586247303327,1532,34,0.247251953656106
554,0.27028448275862066,30,1.3333333333333333,145,0.6616634142743432,0.1645827648938112,1149,40,0.15760209136274153
555,0.26681919642857144,25,1.6,112,0.602329701808502,0.1463260361181435,945,32,0.17964191236105667
556,0.2202799479166667,28,1.4285714285714286,192,-0.1447644753343096,0.3830073992172599,2613,41,0.3863215785979414
557,0.1014370078740158,23,1.7391304347826086,127,-2.0532417892852064,0.214605565719488,996,31,0.28402649408369873
558,0.1629875,28,1.4285714285714286,100,-1.0578520197408676,0.08683759472941613,413,37,0.06748411446826613
559,0.20045833333333335,29,1.3793103448275863,180,-0.4652405124635502,0.1746076479420385,1440,41,0.16419684143866337
560,0.2145432692307693,25,1.6,104,-0.23467641158655853,0.12799067036182515,730,32,0.12704654732561715
561,0.18772637795275599,32,1.25,127,-0.6667348378959113,0.0974895897118419,847,40,0.10730792586697703
562,0.21209722222222227,28,1.4285714285714286,90,-0.27263787863297767,0.16365025203294614,885,35,0.1624652862250574
563,0.28799788135593213,24,1.6666666666666667,118,0.942826311190711,0.2537670813861915,1345,31,0.25410824764693335
564,0.2783333333333334,22,1.8181818181818181,141,0.7909116661887843,0.3817043685676129,1684,31,0.3496873978637981
565,0.18639534883720932,25,1.6,129,-0.6883614770203691,0.14949331064183874,720,34,0.130716149888299
566,0.3393788819875777,25,1.6,161,1.7784818177299773,0.3190424751409143,1942,31,0.3605391334239539
567,0.1417777777777778,30,1.3333333333333333,90,-1.3922570422857368,0.09526514636508564,466,38,0.08760706732675616
568,0.14051136363636374,24,1.6666666666666667,88,-1.4114237952731972,0.188984825920247,1082,27,0.2287801375484184
569,0.3566341463414634,24,1.6666666666666667,205,2.065000059842269,0.4746468994310075,2998,34,0.494579181349042
570,0.2302788461538462,31,1.2903225806451613,130,0.01701164483806404,0.20746627093563497,1157,42,0.18567494636619783
571,0.2295518867924529,25,1.6,106,0.005298469391457687,0.221455736445973,1014,31,0.19739178483007883
572,0.24247340425531924,26,1.5384615384615385,94,0.21128837515221174,0.194697754972237,842,35,0.1833053346957799
573,0.2606910569105691,28,1.4285714285714286,123,0.5053009332367828,0.148901188147149,976,37,0.17515026797325609
574,0.22133241758241762,28,1.4285714285714286,91,-0.1256389539808092,0.11417504601222041,543,36,0.105106042601979
575,0.19447916666666673,28,1.4285714285714286,96,-0.5542288026739544,0.10341264000184203,568,39,0.10126865977470449
576,0.2548267326732673,20,2.0,101,0.4090846713298181,0.241653561778281,940,28,0.2059395054637805
577,0.3232742537313432,24,1.6666666666666667,134,1.5130377422512709,0.3218345458068368,1603,33,0.3307156748489041
578,0.14864955357142864,23,1.7391304347826086,112,-1.290752263541516,0.18752513798526196,1001,30,0.16995585717146483
579,0.2376515151515151,24,1.6666666666666667,99,0.1346160388167183,0.15433318742347074,758,34,0.1561289463160044
580,0.23785621761658032,26,1.5384615384615385,193,0.1398340264587841,0.25194010102520364,2141,36,0.2553078846941097
581,0.20737500000000003,26,1.5384615384615385,120,-0.35056008199940797,0.10160248628310549,770,35,0.11626456176046243
582,0.14672058823529419,29,1.3793103448275863,85,-1.311162366284051,0.12359978693575117,631,38,0.12027569653278568
